iter	Logloss
0	0.5792563532
1	0.4983492258
2	0.4396445625
3	0.3941619684
4	0.3626508947
5	0.3395159251
6	0.3210849342
7	0.307409296
8	0.2967488911
9	0.2887343607
10	0.2824644818
11	0.2769948818
12	0.2732310321
13	0.2701772732
14	0.267742712
15	0.2656456913
16	0.2641460755
17	0.2626503
18	0.261447316
19	0.2605219374
20	0.2597260479
21	0.2589558808
22	0.2584906514
23	0.258097584
24	0.257682261
25	0.2574524383
26	0.2571942108
27	0.2569024848
28	0.2566674271
29	0.256525682
30	0.2563751258
31	0.2561150861
32	0.2560146974
33	0.2559138105
34	0.2557291254
35	0.2556350937
36	0.2555511669
37	0.2554709274
38	0.2553999304
39	0.2553115322
40	0.2551373354
41	0.2550712869
42	0.2549401528
43	0.2548698848
44	0.2548191942
45	0.2547660811
46	0.254662102
47	0.2546259122
48	0.2545434
49	0.2544024495
50	0.254291602
51	0.2542316462
52	0.2541615776
53	0.2540337194
54	0.2539874518
55	0.2539406523
56	0.2538485347
57	0.253781165
58	0.2537353907
59	0.2536939699
60	0.2536500731
61	0.2536201387
62	0.2535941919
63	0.253568811
64	0.2535171121
65	0.2534852766
66	0.2534313945
67	0.2533940435
68	0.2532887883
69	0.2531845986
70	0.2531596906
71	0.2531380065
72	0.2531180653
73	0.2530988384
74	0.2530823636
75	0.2530517967
76	0.2530118175
77	0.252986149
78	0.2529621384
79	0.2528565712
80	0.2527809336
81	0.2527557637
82	0.2527398065
83	0.2527196611
84	0.2526951404
85	0.2526699766
86	0.2526120547
87	0.2525874323
88	0.2525128253
89	0.2524770945
90	0.2524471072
91	0.2523796397
92	0.2523616395
93	0.2523401745
94	0.2523162615
95	0.252296038
96	0.2522673475
97	0.2522440848
98	0.2522171945
99	0.2521502858
100	0.252092082
101	0.2520718661
102	0.2520309976
103	0.2520025883
104	0.2519755145
105	0.2519617659
106	0.2519449515
107	0.2519235058
108	0.2518748338
109	0.2518403038
110	0.2518176418
111	0.2517749366
112	0.251725353
113	0.2516950377
114	0.251677573
115	0.2516657751
116	0.2516425605
117	0.2515511616
118	0.2515343143
119	0.2515027969
120	0.2514408838
121	0.2514196735
122	0.2513610301
123	0.2513429698
124	0.2513241553
125	0.2512740553
126	0.2512583412
127	0.251244843
128	0.251225816
129	0.2512060782
130	0.2511663728
131	0.2511288199
132	0.2511075773
133	0.2510837014
134	0.2510363827
135	0.250965635
136	0.2509428096
137	0.2509178198
138	0.2508945492
139	0.250862296
140	0.2508133121
141	0.25079315
142	0.2507642742
143	0.2507147221
144	0.2506390573
145	0.2506214399
146	0.2505884702
147	0.2505704069
148	0.2505494142
149	0.2505303824
150	0.2505025879
151	0.2504573314
152	0.2504398032
153	0.2503877318
154	0.2503644665
155	0.2503494723
156	0.2503280366
157	0.2503130785
158	0.2502580036
159	0.2502243142
160	0.2501850827
161	0.2501331796
162	0.2501062192
163	0.2500749352
164	0.2500489154
165	0.2500310622
166	0.2499891994
167	0.2499533572
168	0.2499294351
169	0.2498885322
170	0.2498698952
171	0.249853606
172	0.2498240545
173	0.2497756581
174	0.2497558302
175	0.2497362968
176	0.2497134979
177	0.2496848034
178	0.2496653632
179	0.2496468206
180	0.2496143125
181	0.2495800562
182	0.2495529149
183	0.2495340909
184	0.2495081153
185	0.249491094
186	0.2494724136
187	0.2494418895
188	0.2494127689
189	0.2493958694
190	0.2493787507
191	0.2493278126
192	0.2492936996
193	0.2492521161
194	0.2492359303
195	0.249225174
196	0.249212186
197	0.2491860747
198	0.2491545146
199	0.2491149293
200	0.2490974058
201	0.2490753832
202	0.2490505975
203	0.2490288028
204	0.2490133105
205	0.2489917501
206	0.2489688815
207	0.2489250187
208	0.2489041277
209	0.2488794426
210	0.2488483343
211	0.2488225639
212	0.2487341841
213	0.2487189345
214	0.2486944191
215	0.2486808707
216	0.2486589016
217	0.2486455509
218	0.2486237641
219	0.2486026821
220	0.2485896443
221	0.2485716676
222	0.2485466132
223	0.2485240972
224	0.2485093804
225	0.2484918375
226	0.2484688457
227	0.24844533
228	0.248393305
229	0.2483766447
230	0.2483580183
231	0.2483093899
232	0.248290153
233	0.2482713239
234	0.2482543251
235	0.2482379345
236	0.2482146741
237	0.2481992422
238	0.2481814383
239	0.2481069829
240	0.2480834474
241	0.24806655
242	0.2480473291
243	0.2480262381
244	0.248011711
245	0.2479930387
246	0.2479781597
247	0.2479633547
248	0.2479499072
249	0.2479387061
250	0.2479240875
251	0.2479098833
252	0.24789457
253	0.2478802129
254	0.2478644534
255	0.2478397098
256	0.2478218637
257	0.2478109812
258	0.2477967135
259	0.2477846313
260	0.2477624345
261	0.247723155
262	0.2477107438
263	0.2476982674
264	0.2476810976
265	0.2476402592
266	0.2476272801
267	0.2476165387
268	0.2475960853
269	0.2475824879
270	0.2475662958
271	0.2475549571
272	0.2475313812
273	0.2475152426
274	0.2474965771
275	0.2474843533
276	0.2474673922
277	0.2474518748
278	0.2474275022
279	0.2474129009
280	0.2473903007
281	0.2473683719
282	0.2473484971
283	0.247338303
284	0.2473115589
285	0.2472883274
286	0.2472740352
287	0.2472565596
288	0.247243921
289	0.247218574
290	0.2472065806
291	0.2471954429
292	0.2471745443
293	0.2471309962
294	0.2471124975
295	0.2470949956
296	0.247080175
297	0.247066773
298	0.2470513061
299	0.2470391767
300	0.2470290427
301	0.247001717
302	0.2469901435
303	0.2469699852
304	0.2469540763
305	0.2469408277
306	0.2469218337
307	0.2469064881
308	0.2468775221
309	0.2468614425
310	0.2468446649
311	0.2468311559
312	0.2468213118
313	0.2468053327
314	0.2467921323
315	0.2467745543
316	0.2467559407
317	0.2467264876
318	0.2467141691
319	0.2466991322
320	0.2466799298
321	0.2466670208
322	0.2466554934
323	0.2466307676
324	0.2466114828
325	0.2465868852
326	0.2465511317
327	0.2465320454
328	0.2465128155
329	0.2465005994
330	0.2464872099
331	0.2464729837
332	0.2464575034
333	0.246445921
334	0.2464286722
335	0.2464113242
336	0.2463945291
337	0.2463760082
338	0.2463470952
339	0.2463336171
340	0.2463209847
341	0.2463046852
342	0.2462870325
343	0.2462687208
344	0.2462427655
345	0.2462284012
346	0.2462166473
347	0.246203167
348	0.2461893301
349	0.2461549025
350	0.2461419783
351	0.2461305344
352	0.2461146085
353	0.2461010647
354	0.2460872638
355	0.2460589785
356	0.2460476744
357	0.2460334449
358	0.2460161684
359	0.246006389
360	0.2459924901
361	0.2459803641
362	0.245966323
363	0.2459511286
364	0.2459083774
365	0.2458877601
366	0.2458778808
367	0.2458653669
368	0.2458473226
369	0.2458337745
370	0.2458141079
371	0.24580174
372	0.2457867819
373	0.2457691424
374	0.2457520274
375	0.245737101
376	0.245725008
377	0.2457117954
378	0.245692888
379	0.2456775325
380	0.2456674582
381	0.2456520639
382	0.2456396158
383	0.2456294585
384	0.2456178829
385	0.2456056539
386	0.2455930316
387	0.2455832415
388	0.245571009
389	0.2455600148
390	0.2455494539
391	0.2455351447
392	0.2455203997
393	0.24549457
394	0.2454854932
395	0.2454752418
396	0.2454632999
