iter	Passed	Remaining
0	300	179966
1	414	124038
2	535	106619
3	650	96909
4	760	90550
5	874	86591
6	976	82708
7	1090	80683
8	1191	78267
9	1323	78071
10	1439	77060
11	1566	76740
12	1696	76589
13	1821	76237
14	1926	75127
15	2045	74671
16	2174	74586
17	2361	76353
18	2501	76492
19	2602	75460
20	2733	75353
21	2849	74862
22	2958	74227
23	3072	73751
24	3179	73137
25	3299	72838
26	3394	72028
27	3491	71328
28	3613	71147
29	3728	70837
30	3845	70574
31	3964	70373
32	4095	70369
33	4212	70128
34	4336	70002
35	4456	69815
36	4590	69847
37	4725	69894
38	4882	70236
39	5017	70249
40	5169	70486
41	5299	70401
42	5430	70343
43	5580	70512
44	5701	70316
45	5832	70246
46	5979	70351
47	6320	72680
48	6854	77080
49	7014	77158
50	7136	76823
51	7246	76368
52	7389	76262
53	7527	76110
54	7672	76024
55	7795	75724
56	7896	75228
57	8007	74833
58	8104	74312
59	8201	73817
60	8306	73396
61	8452	73341
62	8574	73090
63	8676	72667
64	8777	72242
65	8867	71746
66	8977	71420
67	9105	71234
68	9219	70947
69	9323	70591
70	9436	70305
71	9532	69907
72	9646	69641
73	9760	69377
74	9859	69017
75	9960	68672
76	10063	68356
77	10167	68045
78	10336	68169
79	10440	67863
80	10543	67558
81	10656	67316
82	10786	67191
83	10888	66888
84	10990	66587
85	11085	66257
86	11185	65956
87	11305	65776
88	11418	65558
89	11539	65392
90	11641	65116
91	11738	64819
92	11841	64555
93	11956	64363
94	12078	64206
95	12180	63948
96	12292	63742
97	12392	63477
98	12498	63248
99	12596	62981
100	12693	62712
101	12787	62430
102	12888	62188
103	13008	62042
104	13167	62076
105	13304	62004
106	13414	61805
107	13520	61592
108	13645	61467
109	13769	61335
110	13879	61144
111	14004	61021
112	14102	60776
113	14209	60577
114	14342	60487
115	14468	60369
116	14576	60175
117	14692	60013
118	14804	59841
119	14939	59758
120	15083	59709
121	15220	59635
122	15373	59618
123	15520	59578
124	15778	59960
125	15953	60016
126	16129	60074
127	16284	60047
128	16412	59924
129	16536	59784
130	16676	59705
131	16829	59669
132	16953	59527
133	17056	59315
134	17164	59121
135	17283	58965
136	17391	58775
137	17508	58614
138	17640	58506
139	17763	58366
140	17866	58162
141	17989	58023
142	18102	57852
143	18226	57716
144	18355	57596
145	18462	57410
146	18568	57220
147	18650	56958
148	18751	56758
149	18852	56557
150	18972	56416
151	19097	56286
152	19191	56068
153	19321	55955
154	19525	56056
155	19684	56025
156	19835	55969
157	19926	55742
158	20036	55572
159	20151	55415
160	20286	55316
161	20410	55182
162	20532	55046
163	20660	54927
164	20764	54741
165	20878	54585
166	20989	54421
167	21094	54243
168	21214	54103
169	21330	53953
170	21446	53804
171	21573	53681
172	21694	53547
173	21825	53434
174	21924	53244
175	22029	53071
176	22138	52907
177	22256	52766
178	22357	52583
179	22456	52397
180	22577	52264
181	22686	52104
182	22777	51901
183	22894	51761
184	23008	51613
185	23125	51472
186	23244	51337
187	23349	51170
188	23463	51023
189	23579	50882
190	23710	50771
191	23819	50615
192	23946	50498
193	24078	50392
194	24216	50295
195	24336	50162
196	24438	49994
197	24565	49874
198	24691	49754
199	24865	49730
200	25008	49643
201	25148	49549
202	25276	49433
203	25399	49304
204	25525	49183
205	25677	49112
206	25823	49026
207	25965	48934
208	26100	48828
209	26226	48707
210	26345	48571
211	26465	48437
212	26591	48314
213	26722	48200
214	26869	48114
215	26983	47971
216	27086	47806
217	27217	47692
218	27350	47583
219	27591	47657
220	27715	47530
221	27851	47423
222	27987	47315
223	28155	47261
224	28369	47281
225	28584	47303
226	28894	47477
227	29116	47505
228	29461	47730
229	29701	47780
230	29913	47784
231	30135	47800
232	30338	47785
233	30519	47736
234	30675	47644
235	30852	47586
236	31009	47495
237	31168	47407
238	31346	47347
239	31545	47318
240	31716	47245
241	31869	47145
242	32062	47104
243	32222	47013
244	32423	46980
245	32624	46947
246	32815	46898
247	32983	46815
248	33152	46733
249	33319	46647
250	33532	46624
251	33718	46563
252	33901	46497
253	34036	46365
254	34163	46220
255	34295	46084
256	34430	45952
257	34536	45781
258	34661	45634
259	34796	45503
260	34990	45447
261	35111	45296
262	35214	45122
263	35356	44998
264	35470	44840
265	35602	44704
266	35721	44551
267	35831	44388
268	35962	44251
269	36063	44077
270	36196	43943
271	36312	43788
272	36433	43640
273	36544	43479
274	36662	43327
275	36779	43175
276	36895	43022
277	37015	42873
278	37130	42720
279	37248	42570
280	37360	42413
281	37465	42248
282	37556	42068
283	37646	41887
284	37746	41719
285	37854	41560
286	37950	41388
287	38055	41227
288	38152	41056
289	38254	40892
290	38344	40716
291	38462	40569
292	38584	40428
293	38702	40281
294	38810	40125
295	38962	40015
296	39125	39915
297	39369	39898
298	39546	39810
299	39762	39762
300	39918	39653
301	40056	39526
302	40231	39434
303	40354	39292
304	40519	39191
305	40786	39187
306	41022	39152
307	41242	39099
308	41449	39034
309	41656	38969
310	41910	38946
311	42156	38913
312	42326	38810
313	42514	38723
314	42721	38653
315	42954	38604
316	43160	38530
317	43367	38458
318	43624	38428
319	43806	38331
320	44036	38275
321	44276	38225
322	44442	38113
323	44638	38025
324	44816	37921
325	45004	37825
326	45253	37780
327	45518	37747
328	45710	37652
329	45864	37525
330	45993	37378
331	46118	37228
332	46273	37102
333	46464	37004
334	46638	36893
335	46815	36783
336	46986	36669
337	47150	36548
338	47423	36511
339	47559	36369
340	47713	36239
341	47856	36102
342	47985	35954
343	48141	35826
344	48332	35723
345	48479	35589
346	48604	35437
347	48771	35317
348	48936	35195
349	49095	35067
350	49213	34912
351	49327	34753
352	49449	34600
353	49576	34451
354	49697	34298
355	49849	34166
356	49991	34027
357	50139	33893
358	50278	33752
359	50419	33612
360	50568	33478
361	50684	33323
362	50799	33166
363	50914	33010
364	51041	32862
365	51186	32725
366	51315	32579
367	51457	32440
368	51576	32287
369	51693	32133
370	51819	31985
371	51945	31837
372	52073	31690
373	52191	31538
374	52308	31384
375	52430	31235
376	52554	31086
377	52664	30929
378	52805	30791
379	52932	30645
380	53052	30494
381	53169	30342
382	53284	30190
383	53395	30034
384	53538	29898
385	53684	29763
386	53823	29623
387	53936	29470
388	54045	29315
389	54164	29165
390	54286	29017
391	54400	28865
392	54510	28711
393	54622	28559
